N,g,m,a,theta,p,mixer_type,hash,quality
2,1.0,1.0,1.0,0.0,1,X,b1cf00770d56ea6b5c4ddb3811bc4972,5
4,1.0,1.0,1.0,0.0,1,X,9b51dbb6944be13e071652363c0d434b,5
6,1.0,1.0,1.0,0.0,1,X,1cf359085d61b4c2a792b4aaebf4cdb4,5
8,1.0,1.0,1.0,0.0,1,X,d35ce76459ae037b130de525fc7084ce,5
2,1.0,1.0,1.0,0.0,1,XY,174e83121d246845c35db27923de4b29,5
4,1.0,1.0,1.0,0.0,1,XY,0bca5bb7a59bd879646b869ea4dc7f03,5
6,1.0,1.0,1.0,0.0,1,XY,eafcea10d8ea7009bf5a96f54e5d9d92,5
8,1.0,1.0,1.0,0.0,1,XY,d98d5385cdcebdcc8c7a43b9e5b17856,5
2,1.0,1.0,0.5,0.0,1,X,9b1c516d5c01d0f50e05bb1cb7a9c34e,5
4,1.0,1.0,0.5,0.0,1,X,a96815c0ae032fe246f28e3179101e86,5
6,1.0,1.0,0.5,0.0,1,X,0336ac79de98a24ce51f4289006d81a5,5
2,1.0,1.0,0.25,0.0,1,X,19e556c07e5bb56173f0ad0a1de8d083,5
4,1.0,1.0,0.25,0.0,1,X,f9f0fd4282a124cc1fc2c507e87451bc,5
6,1.0,1.0,0.25,0.0,1,X,0b0ac3a73ee1f1793f1aa12f17cc4cb0,5
2,1.0,1.0,0.5,0.0,1,XY,48cac21e92460a9c1217cf62014d2af3,5
4,1.0,1.0,0.5,0.0,1,XY,b15ab3291ff2929df0ac864ddc8b0bb9,5
6,1.0,1.0,0.5,0.0,1,XY,6da819c80f26bf5439923026fa510bd8,5
2,1.0,1.0,0.25,0.0,1,XY,6296b5c2d7e72b8aaef81331c64f178b,5
